"mep_id","CRE","WDECL","COMPARL","REPORT","REPORT_SHADOW","COMPARL_SHADOW","MOTION","OQ","WEXP","WQ","MINT","IMOTION","PRUNACT"
1,86,0,3,6,0,0,0,0,0,0,0,0,0
234,26,0,0,1,0,0,0,0,0,0,0,0,0
684,4,1,0,0,0,0,0,0,0,0,0,0,0
729,75,0,6,2,0,0,0,0,0,0,0,0,0
945,7,1,0,0,0,0,0,0,0,0,0,0,0
966,133,7,0,0,0,0,0,0,0,0,0,0,0
988,19,2,1,0,0,0,0,0,0,0,0,0,0
997,30,1,9,10,0,0,0,0,0,0,0,0,0
1002,38,2,0,0,0,0,0,0,0,0,0,0,0
1018,133,2,0,0,0,0,0,0,0,0,0,0,0
1023,27,0,0,0,0,0,0,0,0,0,0,0,0
1026,18,0,1,3,0,0,0,0,0,0,0,0,0
1037,31,0,5,32,0,0,0,0,0,0,0,0,0
1038,31,1,0,12,0,0,0,0,0,0,0,0,0
1040,75,1,4,10,0,0,0,0,0,0,0,0,0
1055,9,0,3,1,0,0,0,0,0,0,0,0,0
1059,101,1,4,3,0,0,0,0,0,0,0,0,0
1061,54,4,8,6,0,0,0,0,0,0,0,0,0
1065,55,0,0,1,0,0,0,0,0,0,0,0,0
1073,102,9,2,4,0,0,0,0,0,0,0,0,0
1094,4,0,0,0,0,0,0,0,0,0,0,0,0
1113,20,0,1,0,0,0,0,0,0,0,0,0,0
1122,71,0,5,3,0,0,0,0,0,0,0,0,0
1129,33,1,1,3,0,0,0,0,0,0,0,0,0
1164,309,3,0,0,0,0,0,0,0,0,0,0,0
1183,104,0,1,4,0,0,0,0,0,0,0,0,0
1186,162,0,4,4,0,0,0,0,0,0,0,0,0
1191,61,0,2,7,0,0,0,0,0,0,0,0,0
1204,10,1,0,4,0,0,0,0,0,0,0,0,0
1222,32,0,3,1,0,0,0,0,0,0,0,0,0
1224,36,0,3,3,0,0,0,0,0,0,0,0,0
1237,143,1,1,4,0,0,0,0,0,0,0,0,0
1253,984,0,0,0,0,0,0,0,0,0,0,0,0
1263,130,3,2,23,0,0,0,0,0,0,0,0,0
1264,151,0,0,2,0,0,0,0,0,0,0,0,0
1266,5,0,0,0,0,0,0,0,0,0,0,0,0
1269,7,0,0,0,0,0,0,0,0,0,0,0,0
1275,122,1,0,0,0,0,0,0,0,0,0,0,0
1289,243,1,2,5,0,0,0,0,0,0,0,0,0
1295,13,2,1,1,0,0,0,0,0,0,0,0,0
1309,75,0,0,0,0,0,0,0,0,0,0,0,0
1311,65,1,4,1,0,0,0,0,0,0,0,0,0
1313,31,0,21,3,0,0,0,0,0,0,0,0,0
1318,123,4,0,2,0,0,0,0,0,0,0,0,0
1337,157,0,20,9,0,0,0,0,0,0,0,0,0
1352,55,2,0,17,0,0,0,0,0,0,0,0,0
1370,19,0,0,2,0,0,0,0,0,0,0,0,0
1403,787,6,9,6,0,0,0,0,0,0,0,0,0
1405,426,1,0,2,0,0,0,0,0,0,0,0,0
1407,39,7,1,3,0,0,0,0,0,0,0,0,0
1413,246,6,2,1,0,0,0,0,0,0,0,0,0
1419,30,0,0,10,0,0,0,0,0,0,0,0,0
1429,83,2,1,1,0,0,0,0,0,0,0,0,0
1473,58,6,24,7,0,0,0,0,0,0,0,0,0
1490,4,1,1,0,0,0,0,0,0,0,0,0,0
1566,9,1,0,0,0,0,0,0,0,0,0,0,0
1665,43,0,2,10,0,0,0,0,0,0,0,0,0
1708,54,2,0,3,0,0,0,0,0,0,0,0,0
1832,89,1,0,3,0,0,0,0,0,0,0,0,0
1833,127,3,0,3,0,0,0,0,0,0,0,0,0
1838,769,10,2,2,0,0,0,0,0,0,0,0,0
1842,40,0,1,1,0,0,0,0,0,0,0,0,0
1845,16,0,0,3,0,0,0,0,0,0,0,0,0
1849,593,2,2,3,0,0,0,0,0,0,0,0,0
1852,20,0,0,1,0,0,0,0,0,0,0,0,0
1858,12,1,6,2,0,0,0,0,0,0,0,0,0
1859,37,1,0,4,0,0,0,0,0,0,0,0,0
1866,26,0,1,2,0,0,0,0,0,0,0,0,0
1873,36,2,1,2,0,0,0,0,0,0,0,0,0
1882,23,0,3,11,0,0,0,0,0,0,0,0,0
1898,68,2,5,4,0,0,0,0,0,0,0,0,0
1902,8,0,3,0,0,0,0,0,0,0,0,0,0
1904,35,1,1,3,0,0,0,0,0,0,0,0,0
1905,11,0,0,4,0,0,0,0,0,0,0,0,0
1906,6,0,3,1,0,0,0,0,0,0,0,0,0
1907,18,0,2,2,0,0,0,0,0,0,0,0,0
1908,23,1,0,2,0,0,0,0,0,0,0,0,0
1910,10,0,6,0,0,0,0,0,0,0,0,0,0
1911,237,1,0,0,0,0,0,0,0,0,0,0,0
1914,38,0,40,10,0,0,0,0,0,0,0,0,0
1919,15,0,0,0,0,0,0,0,0,0,0,0,0
1920,62,1,2,2,0,0,0,0,0,0,0,0,0
1922,93,5,4,2,0,0,0,0,0,0,0,0,0
1926,32,2,1,1,0,0,0,0,0,0,0,0,0
1928,57,0,6,7,0,0,0,0,0,0,0,0,0
1929,68,0,0,6,0,0,0,0,0,0,0,0,0
1930,27,0,0,3,0,0,0,0,0,0,0,0,0
1933,86,2,3,1,0,0,0,0,0,0,0,0,0
1934,121,4,0,0,0,0,0,0,0,0,0,0,0
1935,25,0,0,1,0,0,0,0,0,0,0,0,0
1938,32,2,1,1,0,0,0,0,0,0,0,0,0
1941,92,6,3,3,0,0,0,0,0,0,0,0,0
1944,37,0,0,0,0,0,0,0,0,0,0,0,0
1945,20,0,0,1,0,0,0,0,0,0,0,0,0
1946,62,1,0,1,0,0,0,0,0,0,0,0,0
1952,126,1,5,0,0,0,0,0,0,0,0,0,0
1956,159,20,0,0,0,0,0,0,0,0,0,0,0
1965,78,1,14,7,0,0,0,0,0,0,0,0,0
1969,202,3,4,14,0,0,0,0,0,0,0,0,0
1970,22,0,0,2,0,0,0,0,0,0,0,0,0
1973,45,0,5,1,0,0,0,0,0,0,0,0,0
1977,18,2,3,4,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0
