"mep_id","CRE","WDECL","COMPARL","REPORT","REPORT_SHADOW","COMPARL_SHADOW","MOTION","OQ","WEXP","WQ","MINT","IMOTION","PRUNACT"
1,113,0,0,9,0,0,0,0,0,0,0,0,0
35,95,0,0,6,0,0,0,0,0,0,0,0,0
234,31,0,0,0,0,0,0,0,0,0,0,0,0
357,34,1,0,1,0,0,0,0,0,0,0,0,0
698,5,0,0,0,0,0,0,0,0,0,0,0,0
714,2,0,0,1,0,0,0,0,0,0,0,0,0
729,105,0,0,3,0,0,0,0,0,0,0,0,0
945,1301,0,0,0,0,0,0,0,0,0,0,0,0
953,84,0,0,2,0,0,0,0,0,0,0,0,0
966,91,4,0,0,0,0,0,0,0,0,0,0,0
990,12,1,0,3,0,0,0,0,0,0,0,0,0
997,75,0,0,0,0,0,0,0,0,0,0,0,0
1002,36,2,0,0,0,0,0,0,0,0,0,0,0
1007,1,0,0,0,0,0,0,0,0,0,0,0,0
1018,173,0,0,0,0,0,0,0,0,0,0,0,0
1023,15,0,0,0,0,0,0,0,0,0,0,0,0
1024,5,0,0,0,0,0,0,0,0,0,0,0,0
1026,70,0,0,5,0,0,0,0,0,0,0,0,0
1033,2030,1,0,0,0,0,0,0,0,0,0,0,0
1037,33,0,0,9,0,0,0,0,0,0,0,0,0
1038,29,0,0,9,0,0,0,0,0,0,0,0,0
1040,116,0,0,12,0,0,0,0,0,0,0,0,0
1041,21,0,0,5,0,0,0,0,0,0,0,0,0
1051,115,3,0,4,0,0,0,0,0,0,0,0,0
1055,12,0,0,4,0,0,0,0,0,0,0,0,0
1059,77,3,0,5,0,0,0,0,0,0,0,0,0
1061,58,0,0,9,0,0,0,0,0,0,0,0,0
1062,61,0,0,1,0,0,0,0,0,0,0,0,0
1063,52,0,0,4,0,0,0,0,0,0,0,0,0
1065,77,0,0,1,0,0,0,0,0,0,0,0,0
1067,159,3,0,2,0,0,0,0,0,0,0,0,0
1073,92,5,0,1,0,0,0,0,0,0,0,0,0
1103,58,1,0,4,0,0,0,0,0,0,0,0,0
1106,561,0,0,1,0,0,0,0,0,0,0,0,0
1113,29,0,0,7,0,0,0,0,0,0,0,0,0
1122,104,1,0,5,0,0,0,0,0,0,0,0,0
1123,51,0,0,7,0,0,0,0,0,0,0,0,0
1133,86,0,0,3,0,0,0,0,0,0,0,0,0
1164,118,5,0,0,0,0,0,0,0,0,0,0,0
1167,52,0,0,2,0,0,0,0,0,0,0,0,0
1175,307,0,0,4,0,0,0,0,0,0,0,0,0
1183,77,0,0,5,0,0,0,0,0,0,0,0,0
1184,24,1,0,5,0,0,0,0,0,0,0,0,0
1186,191,0,0,16,0,0,0,0,0,0,0,0,0
1188,63,0,0,8,0,0,0,0,0,0,0,0,0
1190,96,0,0,5,0,0,0,0,0,0,0,0,0
1191,98,0,0,8,0,0,0,0,0,0,0,0,0
1192,104,0,0,19,0,0,0,0,0,0,0,0,0
1194,22,1,0,0,0,0,0,0,0,0,0,0,0
1197,58,0,0,1,0,0,0,0,0,0,0,0,0
