"mep_id","CRE","WDECL","COMPARL","REPORT","REPORT_SHADOW","COMPARL_SHADOW","MOTION","OQ","WEXP","WQ","MINT","IMOTION","PRUNACT"
1,0,0,0,3,0,0,0,0,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0,0,0,0,0
35,0,0,0,3,0,0,0,0,0,0,0,0,0
233,0,0,0,3,0,0,0,0,0,0,0,0,0
234,0,0,0,2,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0,0,0,0
683,0,0,0,0,0,0,0,0,0,0,0,0,0
714,0,0,0,0,0,0,0,0,0,0,0,0,0
877,0,0,0,3,0,0,0,0,0,0,0,0,0
945,0,0,0,9,0,0,0,0,0,0,0,0,0
947,0,0,0,0,0,0,0,0,0,0,0,0,0
953,0,0,0,5,0,0,0,0,0,0,0,0,0
956,0,0,0,2,0,0,0,0,0,0,0,0,0
961,0,0,0,3,0,0,0,0,0,0,0,0,0
966,0,0,0,1,0,0,0,0,0,0,0,0,0
972,0,0,0,4,0,0,0,0,0,0,0,0,0
973,0,0,0,1,0,0,0,0,0,0,0,0,0
981,0,0,0,4,0,0,0,0,0,0,0,0,0
988,0,0,0,0,0,0,0,0,0,0,0,0,0
990,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,0,0,0,5,0,0,0,0,0,0,0,0,0
1026,0,0,0,2,0,0,0,0,0,0,0,0,0
1027,0,0,0,1,0,0,0,0,0,0,0,0,0
1031,0,0,0,1,0,0,0,0,0,0,0,0,0
1036,0,0,0,3,0,0,0,0,0,0,0,0,0
1037,0,0,0,1,0,0,0,0,0,0,0,0,0
1038,0,0,0,2,0,0,0,0,0,0,0,0,0
1039,0,0,0,2,0,0,0,0,0,0,0,0,0
1040,0,0,0,3,0,0,0,0,0,0,0,0,0
1041,0,0,0,2,0,0,0,0,0,0,0,0,0
1045,0,0,0,4,0,0,0,0,0,0,0,0,0
1051,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,0,0,0,4,0,0,0,0,0,0,0,0,0
1057,0,0,0,1,0,0,0,0,0,0,0,0,0
1059,0,0,0,3,0,0,0,0,0,0,0,0,0
1061,0,0,0,0,0,0,0,0,0,0,0,0,0
1062,0,0,0,1,0,0,0,0,0,0,0,0,0
1063,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,0,0,0,0,0,0,0,0,0,0,0,0,0
1067,0,0,0,1,0,0,0,0,0,0,0,0,0
1068,0,0,0,2,0,0,0,0,0,0,0,0,0
1076,0,0,0,1,0,0,0,0,0,0,0,0,0
1091,0,0,0,3,0,0,0,0,0,0,0,0,0
1092,0,0,0,1,0,0,0,0,0,0,0,0,0
1101,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,0,0,0,3,0,0,0,0,0,0,0,0,0
1114,0,0,0,1,0,0,0,0,0,0,0,0,0
1120,0,0,0,4,0,0,0,0,0,0,0,0,0
1122,0,0,0,10,0,0,0,0,0,0,0,0,0
1123,0,0,0,6,0,0,0,0,0,0,0,0,0
1130,0,0,0,1,0,0,0,0,0,0,0,0,0
1135,0,0,0,2,0,0,0,0,0,0,0,0,0
1137,0,0,0,2,0,0,0,0,0,0,0,0,0
1141,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,0,0,2,0,0,0,0,0,0,0,0,0
1146,0,0,0,1,0,0,0,0,0,0,0,0,0
1148,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,0,0,0,4,0,0,0,0,0,0,0,0,0
1158,0,0,0,3,0,0,0,0,0,0,0,0,0
1167,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,0,0,0,1,0,0,0,0,0,0,0,0,0
1178,0,0,0,2,0,0,0,0,0,0,0,0,0
1183,0,0,0,5,0,0,0,0,0,0,0,0,0
1185,0,0,0,2,0,0,0,0,0,0,0,0,0
1186,0,0,0,6,0,0,0,0,0,0,0,0,0
1188,0,0,0,2,0,0,0,0,0,0,0,0,0
1190,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,0,0,0,5,0,0,0,0,0,0,0,0,0
1192,0,0,0,10,0,0,0,0,0,0,0,0,0
1194,0,0,0,3,0,0,0,0,0,0,0,0,0
1198,0,0,0,2,0,0,0,0,0,0,0,0,0
1199,0,0,0,3,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,0,0,0,3,0,0,0,0,0,0,0,0,0
1221,0,0,0,1,0,0,0,0,0,0,0,0,0
1222,0,0,0,10,0,0,0,0,0,0,0,0,0
1224,0,0,0,7,0,0,0,0,0,0,0,0,0
1235,0,0,0,4,0,0,0,0,0,0,0,0,0
1236,0,0,0,1,0,0,0,0,0,0,0,0,0
1237,0,0,0,1,0,0,0,0,0,0,0,0,0
1239,0,0,0,5,0,0,0,0,0,0,0,0,0
1241,0,0,0,1,0,0,0,0,0,0,0,0,0
1247,0,0,0,5,0,0,0,0,0,0,0,0,0
1249,0,0,0,1,0,0,0,0,0,0,0,0,0
1258,0,0,0,4,0,0,0,0,0,0,0,0,0
1260,0,0,0,0,0,0,0,0,0,0,0,0,0
1263,0,0,0,0,0,0,0,0,0,0,0,0,0
1264,0,0,0,0,0,0,0,0,0,0,0,0,0
1265,0,0,0,3,0,0,0,0,0,0,0,0,0
1269,0,0,0,0,0,0,0,0,0,0,0,0,0
1271,0,0,0,0,0,0,0,0,0,0,0,0,0
1274,0,0,0,3,0,0,0,0,0,0,0,0,0
1277,0,0,0,0,0,0,0,0,0,0,0,0,0
1281,0,0,0,2,0,0,0,0,0,0,0,0,0
1282,0,0,0,5,0,0,0,0,0,0,0,0,0
1283,0,0,0,1,0,0,0,0,0,0,0,0,0
1287,0,0,0,4,0,0,0,0,0,0,0,0,0
1288,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,0,0,0,5,0,0,0,0,0,0,0,0,0
1295,0,0,0,7,0,0,0,0,0,0,0,0,0
1296,0,0,0,0,0,0,0,0,0,0,0,0,0
1299,0,0,0,1,0,0,0,0,0,0,0,0,0
1300,0,0,0,3,0,0,0,0,0,0,0,0,0
1302,0,0,0,13,0,0,0,0,0,0,0,0,0
1303,0,0,0,1,0,0,0,0,0,0,0,0,0
1304,0,0,0,2,0,0,0,0,0,0,0,0,0
1305,0,0,0,1,0,0,0,0,0,0,0,0,0
1307,0,0,0,2,0,0,0,0,0,0,0,0,0
1309,0,0,0,2,0,0,0,0,0,0,0,0,0
1310,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,0,0,0,3,0,0,0,0,0,0,0,0,0
1312,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,0,0,0,3,0,0,0,0,0,0,0,0,0
1315,0,0,0,3,0,0,0,0,0,0,0,0,0
1316,0,0,0,6,0,0,0,0,0,0,0,0,0
1318,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,0,0,0,2,0,0,0,0,0,0,0,0,0
1321,0,0,0,5,0,0,0,0,0,0,0,0,0
1323,0,0,0,1,0,0,0,0,0,0,0,0,0
1327,0,0,0,5,0,0,0,0,0,0,0,0,0
1330,0,0,0,2,0,0,0,0,0,0,0,0,0
1332,0,0,0,1,0,0,0,0,0,0,0,0,0
1333,0,0,0,2,0,0,0,0,0,0,0,0,0
