"UserID","Term_1","Term_2","Term_3","Term_4","Term_5","Term_6","Term_7","Term_8","Term_9"
96860,NA,NA,NA,NA,NA,NA,462,NA,NA
2037,NA,NA,NA,1826,1826,1819,1812,NA,NA
23820,NA,NA,NA,NA,79,1819,1812,NA,NA
36396,NA,NA,NA,NA,NA,522,686,NA,NA
96678,NA,NA,NA,NA,NA,NA,1812,NA,NA
2295,NA,NA,NA,980,1826,1819,1812,NA,NA
96855,NA,NA,NA,NA,NA,NA,1812,NA,NA
28358,NA,NA,NA,NA,NA,1819,1812,NA,NA
23808,NA,NA,NA,NA,79,1819,1812,NA,NA
1945,NA,NA,NA,1826,NA,1819,1218,NA,NA
96821,NA,NA,NA,NA,NA,NA,1096,NA,NA
96974,NA,NA,NA,NA,NA,NA,1812,NA,NA
96874,NA,NA,NA,NA,NA,NA,1812,NA,NA
28153,NA,NA,NA,NA,NA,1819,1812,NA,NA
36281,NA,NA,NA,NA,NA,581,1812,NA,NA
97026,NA,NA,NA,NA,NA,NA,1812,NA,NA
28584,NA,NA,NA,NA,NA,1819,1812,NA,NA
1129,NA,NA,1819,1052,NA,1819,1812,NA,NA
96909,NA,NA,NA,NA,NA,NA,932,NA,NA
28514,NA,NA,NA,NA,NA,1819,1812,NA,NA
96773,NA,NA,NA,NA,NA,NA,1602,NA,NA
96898,NA,NA,NA,NA,NA,NA,1812,NA,NA
96703,NA,NA,NA,NA,NA,NA,466,NA,NA
96660,NA,NA,NA,NA,NA,NA,125,NA,NA
97131,NA,NA,NA,NA,NA,NA,1812,NA,NA
28221,NA,NA,NA,NA,NA,1819,1812,NA,NA
96845,NA,NA,NA,NA,NA,NA,1812,NA,NA
1956,NA,NA,NA,1826,1415,1701,937,NA,NA
4398,NA,NA,NA,NA,1826,NA,1812,NA,NA
28177,NA,NA,NA,NA,NA,1819,1812,NA,NA
4308,NA,NA,NA,NA,1826,1819,115,NA,NA
34232,NA,NA,NA,NA,NA,768,1414,NA,NA
2212,NA,NA,NA,1062,149,1819,1812,NA,NA
28323,NA,NA,NA,NA,NA,1819,1812,NA,NA
5737,NA,NA,NA,NA,595,1819,1812,NA,NA
4544,NA,NA,NA,NA,1826,1819,931,NA,NA
2155,NA,NA,NA,1826,1826,1819,1812,NA,NA
2319,NA,NA,NA,46,NA,1819,1812,NA,NA
1907,NA,NA,NA,1826,1826,1819,1812,NA,NA
28227,NA,NA,NA,NA,NA,1819,1560,NA,NA
97016,NA,NA,NA,NA,NA,NA,1447,NA,NA
28130,NA,NA,NA,NA,NA,1819,1812,NA,NA
96741,NA,NA,NA,NA,NA,NA,1812,NA,NA
96802,NA,NA,NA,NA,NA,NA,817,NA,NA
28167,NA,NA,NA,NA,NA,1819,1812,NA,NA
28278,NA,NA,NA,NA,NA,1819,1812,NA,NA
96944,NA,NA,NA,NA,NA,NA,1812,NA,NA
96777,NA,NA,NA,NA,NA,NA,1812,NA,NA
41007,NA,NA,NA,NA,NA,423,195,NA,NA
96778,NA,NA,NA,NA,NA,NA,160,NA,NA
96803,NA,NA,NA,NA,NA,NA,914,NA,NA
4466,NA,NA,NA,NA,1826,1819,917,NA,NA
1873,NA,NA,637,1826,1826,1819,891,NA,NA
1992,NA,NA,NA,1826,1826,1819,889,NA,2914817
4243,NA,NA,NA,NA,1826,451,784,NA,NA
28134,NA,NA,NA,NA,NA,1819,778,NA,NA
28576,NA,NA,NA,NA,NA,1819,702,NA,NA
96666,NA,NA,NA,NA,NA,NA,650,NA,NA
96879,NA,NA,NA,NA,NA,NA,625,NA,NA
97294,NA,NA,NA,NA,NA,NA,617,NA,NA
96766,NA,NA,NA,NA,NA,NA,617,NA,NA
