"UserID","full","sur","family","Photo","active","date","place","Gender"
1927,"Peter LIESE","Peter","LIESE","https://www.europarl.europa.eu/mepphoto/1927.jpg",TRUE,"1965-05-20T00:00:00","Meschede","M"
124903,"Bogdan Brunon WENTA","Bogdan Brunon","WENTA","https://www.europarl.europa.eu/mepphoto/124903.jpg",FALSE,"1961-11-19T00:00:00","Szpęgawsk","M"
124814,"Simona BONAFÈ","Simona","BONAFÈ","https://www.europarl.europa.eu/mepphoto/124814.jpg",FALSE,"1973-07-12T00:00:00","Varese","F"
1917,"Markus FERBER","Markus","FERBER","https://www.europarl.europa.eu/mepphoto/1917.jpg",TRUE,"1965-01-15T00:00:00","Augsburg","M"
183022,"Lieve WIERINCK","Lieve","WIERINCK","https://www.europarl.europa.eu/mepphoto/183022.jpg",FALSE,"1957-07-03T00:00:00","Leuven","F"
183793,"Angelo CIOCCA","Angelo","CIOCCA","https://www.europarl.europa.eu/mepphoto/183793.jpg",TRUE,"1975-06-28T00:00:00",NA,"M"
28334,"Urszula KRUPA","Urszula","KRUPA","https://www.europarl.europa.eu/mepphoto/28334.jpg",FALSE,"1949-10-20T00:00:00","Łódź","F"
97025,"Ivari PADAR","Ivari","PADAR","https://www.europarl.europa.eu/mepphoto/97025.jpg",FALSE,"1965-03-12T00:00:00",NA,"M"
186884,"Arndt KOHN","Arndt","KOHN","https://www.europarl.europa.eu/mepphoto/186884.jpg",FALSE,"1980-09-03T00:00:00","Stolberg","M"
188445,"André ELISSEN","André","ELISSEN","https://www.europarl.europa.eu/mepphoto/188445.jpg",FALSE,"1960-02-12T00:00:00","Frechen","M"
193419,"Christophe HANSEN","Christophe","HANSEN","https://www.europarl.europa.eu/mepphoto/193419.jpg",FALSE,"1982-02-21T00:00:00","WILTZ","M"
194391,"Stefan GEHROLD","Stefan","GEHROLD","https://www.europarl.europa.eu/mepphoto/194391.jpg",FALSE,"1965-11-14T00:00:00","Freiburg",NA
