"UserID","full","sur","family","Photo","active","date","place","Gender","Education (qualifications and diplomas)"
247735,"Laura BALLARÍN CEREZA","Laura","BALLARÍN CEREZA","https://www.europarl.europa.eu/mepphoto/247735.jpg",TRUE,"1984-07-19T00:00:00","Barcelona",NA,"03/2022 : CERTIFICATE FOR RISING WOMEN LEADERS – Cambridge Judge Business School – Executive Education (Cambridge, United Kingdom), 10/2017 : CERTIFICATE IN EU DIPLOMACY & DIPLOMATIC SKILLS – College of Europe – Executive Education (Bruges, Belgium), 2014-2015 : POSTGRADUATE COURSE IN INTERNATIONAL ELECTION OBSERVATION AND ELECTION ASSISTANCE – University of the Basque Country (UPV-EHU), 2010-2011 : MASTER’S DEGREE IN LEADERSHIP IN POLITICAL MANAGEMENT – Universitat Autònoma de Barcelona (UAB), 07/2010 : TRAINING COURSE FOR SHORT-TERM ELECTORAL OBSERVERS – Diplomatic School of the Foreign Affairs Ministry – Spanish Government, 2006-2007 : OFFICIAL MASTER’S DEGREE IN CONTEMPORARY LATIN AMERICA AND ITS RELATIONS WITH THE EUROPEAN UNION Ortega y Gasset Foundation / Alcalá de Henares University (UAH) – Master thesis: Fiscal and political culture in Mexico – an approach from financial sociology, 2002-2007 : DEGREE IN POLITICAL AND ADMINISTRATION SCIENCES – Universitat Pompeu Fabra (UPF) and University of Kent (United Kingdom, 2006)"
249284,"Laurence SAILLIET","Laurence","SAILLIET","https://www.europarl.europa.eu/mepphoto/249284.jpg",TRUE,"1973-03-01T00:00:00","Thionville",NA,""
249285,"Lydie MASSARD","Lydie","MASSARD","https://www.europarl.europa.eu/mepphoto/249285.jpg",TRUE,"1978-08-24T00:00:00","Saint- Brieuc",NA,""
249443,"Wolfram PIRCHNER","Wolfram","PIRCHNER","https://www.europarl.europa.eu/mepphoto/249443.jpg",TRUE,"1958-04-21T00:00:00","Innsbruck",NA,""
249603,"Martine KEMP","Martine","KEMP","https://www.europarl.europa.eu/mepphoto/249603.jpg",TRUE,"1994-07-08T00:00:00","Luxembourg",NA,"01/09/2013-31/07/2017 : Bachelor of Science in Social Sciences, Specialisation in Humanitarian Logistics and Finance – Vienna University of Economics and Business, 01/09/2017-31/07/2020 : Master of Science in Traffic and Transport – Technical University of Darmstadt"
249826,"Jozef MIHÁL","Jozef","MIHÁL","https://www.europarl.europa.eu/mepphoto/249826.jpg",TRUE,"1965-03-18T00:00:00","Nitra",NA,""
250235,"Witold PAHL","Witold","PAHL","https://www.europarl.europa.eu/mepphoto/250235.jpg",TRUE,"1961-12-07T00:00:00","Wrocław",NA,""
250237,"Włodzimierz KARPIŃSKI","Włodzimierz","KARPIŃSKI","https://www.europarl.europa.eu/mepphoto/250237.jpg",TRUE,"1961-11-16T00:00:00","Puławy",NA,""
250538,"Rafał ROMANOWSKI","Rafał","ROMANOWSKI","https://www.europarl.europa.eu/mepphoto/250538.jpg",TRUE,"1978-02-15T00:00:00","Ciechanów",NA,""
250572,"Patricia CARO MAYA","Patricia","CARO MAYA","https://www.europarl.europa.eu/mepphoto/250572.jpg",TRUE,NA,NA,NA,""
250918,"François THIOLLET","François","THIOLLET","https://www.europarl.europa.eu/mepphoto/250918.jpg",TRUE,"1975-10-21T00:00:00","Châteaubriant",NA,""
251249,"Esther SANZ SELVA","Esther","SANZ SELVA","https://www.europarl.europa.eu/mepphoto/251249.jpg",TRUE,"1985-07-02T00:00:00","Valencia",NA,""
251268,"Michael KAUCH","Michael","KAUCH","https://www.europarl.europa.eu/mepphoto/251268.jpg",TRUE,"1967-05-04T00:00:00",NA,NA,"1986-1993 : Studied economics and social science at the Technical University of Dortmund"
251324,"Krzysztof BREJZA","Krzysztof","BREJZA","https://www.europarl.europa.eu/mepphoto/251324.jpg",TRUE,"1983-05-16T00:00:00","Bydgoszcz",NA,""
251859,"Guy LAVOCAT","Guy","LAVOCAT","https://www.europarl.europa.eu/mepphoto/251859.jpg",TRUE,"1963-02-14T00:00:00","Pondichery",NA,"2014-2015 : Certificate in social impact measurement (ESSEC/IIES-Paris), 1997-1999 : Master’s degree in Economic and Social Administration, specialising in human resources – Paris-X University – Nanterre (92), 1985-1989 : Diploma from the Special Military School of Saint-Cyr – Coëtquidan (56)"
251874,"Niels GEUKING","Niels","GEUKING","https://www.europarl.europa.eu/mepphoto/251874.jpg",TRUE,"1992-11-17T00:00:00","Coesfeld",NA,""
253008,"Linus GLANZELIUS","Linus","GLANZELIUS","https://www.europarl.europa.eu/mepphoto/253008.jpg",TRUE,"1990-12-28T00:00:00","Gothenburg",NA,""
253043,"Henk Jan ORMEL","Henk Jan","ORMEL","https://www.europarl.europa.eu/mepphoto/253043.jpg",TRUE,"1955-12-15T00:00:00","Utrecht",NA,""
232843,"Jan OVELGÖNNE","Jan","OVELGÖNNE","https://www.europarl.europa.eu/mepphoto/232843.jpg",TRUE,"1975-06-30T00:00:00","Volkach",NA,"10/2019-09/2022 : MA in socio-economics, University of Duisburg-Essen; thesis: How did the EU Recovery and Resilience Facility come about? A systematic process analysis., 09/2013-08/2017 : BA in applied social sciences, Dortmund University of Applied Sciences and Arts thesis: The economy for the common good (ECG) as an alternative to neo-liberal capitalism? Potential and limitations illustrated by reference to a business operating along ECG lines."
254722,"Teófilo SANTOS","Teófilo","SANTOS","https://www.europarl.europa.eu/mepphoto/254722.jpg",TRUE,"1951-02-12T00:00:00","Vila Franca (Viana do Castelo)",NA,""
254719,"Vasco BECKER-WEINBERG","Vasco","BECKER-WEINBERG","https://www.europarl.europa.eu/mepphoto/254719.jpg",TRUE,"1979-09-21T00:00:00","Lisboa",NA,""
254721,"Vânia NETO","Vânia","NETO","https://www.europarl.europa.eu/mepphoto/254721.jpg",TRUE,"1979-04-25T00:00:00","Santarém",NA,""
254720,"Ana Miguel DOS SANTOS","Ana Miguel","DOS SANTOS","https://www.europarl.europa.eu/mepphoto/254720.jpg",TRUE,"1981-09-12T00:00:00","Coimbra",NA,""
254718,"Anabela RODRIGUES","Anabela","RODRIGUES","https://www.europarl.europa.eu/mepphoto/254718.jpg",TRUE,"1976-10-18T00:00:00","Lisboa",NA,""
254876,"Ricardo MORGADO","Ricardo","MORGADO","https://www.europarl.europa.eu/mepphoto/254876.jpg",TRUE,"1987-05-13T00:00:00","Lamego",NA,""
