"mep_id","CRE","WDECL","COMPARL","REPORT","REPORT_SHADOW","COMPARL_SHADOW","MOTION","OQ","WEXP","WQ","MINT","IMOTION","PRUNACT"
1023,1,0,0,0,0,0,1,7,43,11,0,5,0
1037,13,0,8,2,0,0,2,7,0,9,0,0,0
1038,17,1,0,0,0,0,1,11,0,14,1,0,0
1055,23,0,2,3,0,0,7,3,0,10,0,0,0
1164,259,1,0,0,0,0,1,7,221,19,0,8,0
1179,27,0,0,0,0,0,36,1,0,11,0,0,0
1185,17,0,0,1,0,0,2,4,0,14,0,0,0
1204,66,2,1,4,0,0,1,6,0,18,0,1,0
1263,162,1,2,10,0,0,221,3,2,7,0,0,0
1318,87,4,4,2,0,0,13,2,0,14,0,0,0
1351,128,0,0,0,0,0,0,0,0,0,0,0,0
1403,502,0,2,5,0,0,79,5,29,58,0,0,0
1473,334,1,5,18,0,0,370,17,137,49,1,0,0
1654,55,0,0,0,0,0,15,2,0,25,0,0,0
1832,148,0,0,0,0,0,0,0,0,1,0,0,0
1849,41,0,3,6,0,0,14,8,2,3,0,0,0
1852,39,4,0,3,0,0,0,7,5,8,0,0,0
1911,684,0,0,0,0,0,0,0,0,0,0,0,0
1922,72,1,0,1,0,0,75,2,3,4,0,0,0
1928,58,0,1,7,0,0,8,3,0,61,0,0,0
1946,2,0,0,0,0,0,6,0,0,0,0,0,0
1985,176,1,0,7,0,0,12,3,0,12,0,0,0
2002,79,0,1,4,0,0,142,0,2,45,0,0,0
2025,260,11,1,1,0,0,14,10,117,87,0,0,0
2073,129,1,1,1,0,0,173,1,0,24,0,0,0
2109,0,0,0,0,0,0,0,0,0,33,0,0,0
2119,30,0,2,0,0,0,1,0,0,3,0,0,0
2128,54,1,3,1,0,0,110,5,34,14,0,0,0
2278,179,1,7,6,0,0,12,8,0,37,1,0,0
2327,55,1,7,1,0,0,41,22,0,10,0,0,0
2338,193,0,0,0,0,0,2,0,2,47,0,0,0
4262,87,4,0,4,0,0,26,16,0,13,0,1,0
4270,16,2,0,0,0,0,0,2,0,1,0,1,0
4282,47,6,0,1,0,0,18,19,0,25,1,0,0
4319,61,2,1,3,0,0,3,1,0,34,0,0,0
4334,293,2,1,3,0,0,388,7,161,72,0,0,0
4335,334,1,1,3,0,0,258,11,38,46,0,0,0
4338,7,0,0,0,0,0,2,0,0,10,0,0,0
4345,542,1,2,4,0,0,35,10,407,62,0,1,0
4432,51,1,1,0,0,0,9,4,0,34,0,0,0
4436,145,1,0,0,0,0,30,3,0,0,0,0,0
4507,152,3,0,2,0,0,31,1,5,21,1,0,0
4516,80,0,0,0,0,0,1,0,0,4,0,0,0
4521,298,1,2,6,0,0,450,4,69,85,0,1,0
4531,95,9,3,2,0,0,82,24,2,87,0,0,0
4542,57,1,0,3,0,0,16,2,0,2,0,0,0
4545,424,3,4,2,0,0,2,6,167,43,0,1,0
