FullName;CRE;WDECL;COMPARL;REPORT;REPORT_SHADOW;COMPARL_SHADOW;MOTION;OQ;WEXP;WQ;MINT;IMOTION;PRUNACT
Johannes Cornelis van BAALEN;69;3;0;0;0;0;311;4;48;29;0;0;0
Gerben-Jan GERBRANDY;160;4;3;44;0;0;19;37;0;33;0;1;0
Marietje SCHAAKE;329;4;6;9;0;0;420;16;0;179;2;1;0
Gilles PARGNEAUX;417;3;5;4;0;0;30;10;9;28;1;0;0
Vicky FORD;207;2;5;5;0;0;8;7;1;17;0;0;0
Diane DODDS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sylvie GUILLAUME;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Catherine BEARDER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Julie GIRLING;337;0;7;6;0;0;17;27;5;66;0;0;0
Ashley FOX;307;4;6;5;0;0;10;2;3;45;0;0;0
William (The Earl of) DARTMOUTH;706;0;5;1;0;0;2;1;379;103;0;0;0
Nuno MELO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Franz OBERMAYR;1798;6;0;0;0;0;3;11;917;144;1;19;0
Eider GARDIAZABAL RUBIAL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lorenzo FONTANA;1121;11;2;3;0;0;10;12;270;133;0;26;0
Giancarlo SCOTTÀ;35;3;0;2;0;0;0;0;79;7;0;0;0
Burkhard BALZ;84;1;1;4;0;0;2;10;0;6;0;0;0
Evelyn REGNER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Karin KADENBACH;219;10;7;3;0;0;10;21;29;34;0;0;0
Ulrike LUNACEK;493;2;2;4;0;0;74;21;1;45;0;0;0
Ivo VAJGL;88;20;0;0;0;0;0;0;831;0;0;0;0
Robert ROCHEFORT;494;2;1;2;0;0;195;8;276;43;1;0;0
Ivari PADAR;64;0;0;0;0;0;0;0;18;0;0;0;0
Guy VERHOFSTADT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ramón JÁUREGUI ATONDO;190;3;4;3;0;0;25;2;16;95;0;1;0
Indrek TARAND;222;8;5;19;0;0;35;5;0;15;0;0;0
Sylvie GOULARD;125;2;2;4;0;0;1;6;3;14;0;0;0
Francisco SOSA WAGNER;164;2;2;2;0;0;0;0;0;11;0;0;0
Mara BIZZOTTO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ramon TREMOSA i BALCELLS;544;9;2;5;0;0;220;0;486;0;0;0;0
Georges BACH;45;1;4;2;0;0;3;13;0;9;0;2;0
Michel DANTIN;820;5;11;2;0;0;8;7;726;78;0;0;0
Vicky MAEIJER;48;0;0;0;0;0;2;8;0;22;0;3;0
Andrey KOVATCHEV;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eva MAYDELL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tim AKER;241;0;0;0;0;0;2;1;591;9;0;0;0
Constance LE GRIP;492;4;5;5;0;0;4;6;25;20;0;0;0
Ildikó GÁLL-PELCZ;1377;4;8;4;0;0;60;5;48;33;0;0;0
Béla KOVÁCS;361;0;2;3;0;0;0;1;152;40;0;0;0
Keith TAYLOR;55;5;3;4;0;0;30;22;2;65;0;0;0
Auke ZIJLSTRA;142;0;0;0;0;0;3;0;28;106;0;1;0
Terry REINTKE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sergio GUTIÉRREZ PRIETO;366;7;5;3;0;0;99;2;265;176;0;0;0
Virginie ROZIÈRE;114;7;0;6;0;0;2;8;102;28;0;0;0
Julia REID;542;0;0;0;0;0;1;2;803;11;0;0;0
Heinz K. BECKER;173;6;2;2;0;0;5;10;19;22;2;0;0
