FullName;CRE;WDECL;COMPARL;REPORT;REPORT_SHADOW;COMPARL_SHADOW;MOTION;OQ;WEXP;WQ;MINT;IMOTION;PRUNACT
Jadwiga WIŚNIEWSKA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jørn DOHRMANN;30;0;0;3;0;0;8;3;1;153;0;0;0
Janusz KORWIN-MIKKE;191;0;0;0;0;0;1;0;13;11;0;0;0
Ulla TØRNÆS;7;2;0;0;0;0;0;3;0;28;0;0;0
Marek PLURA;21;9;0;1;0;0;2;8;0;13;1;0;0
Dawid Bohdan JACKIEWICZ;20;0;0;0;0;0;1;1;0;12;0;0;0
Krystyna ŁYBACKA;106;1;1;2;0;0;151;2;17;41;0;0;0
Kosma ZŁOTOWSKI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Robert Jarosław IWASZKIEWICZ;44;0;0;0;0;0;5;2;8;19;1;0;0
Karol KARSKI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gabriele PREUSS;3;0;0;0;0;0;7;5;1;25;0;1;0
Agnieszka KOZŁOWSKA;147;2;6;1;0;0;151;11;106;115;1;0;0
Adam SZEJNFELD;393;1;4;3;0;0;228;10;187;182;1;0;0
